central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
0	Li	8	2.07500000E+00	1.27057105E-16	2.07500000E+00	-1.17237065E+01	-1.31697029E-14
1	Fe	5	2.54114211E-16	2.54114211E-16	4.15000000E+00	1.13725214E+01	7.76655142E-15
2	Li	6	5.08228422E-16	2.07500000E+00	6.22500000E+00	-1.13412223E+01	-6.65789240E-15
3	Li	8	2.07500000E+00	3.81171316E-16	6.22500000E+00	-1.14661392E+01	-1.31706060E-14
4	Li	5	5.08228422E-16	5.08228422E-16	8.30000000E+00	-1.16272280E+01	7.76606242E-15
7	Li	6	1.01645684E-15	2.07500000E+00	1.45250000E+01	-1.11410115E+01	-6.65596395E-15
8	Li	7	2.07500000E+00	2.07500000E+00	1.24500000E+01	-1.16504678E+01	1.76115400E-14
9	Li	8	2.07500000E+00	8.89399738E-16	1.45250000E+01	-1.16382804E+01	-1.31715091E-14
11	Li	7	2.07500000E+00	2.07500000E+00	2.07500000E+01	-1.14216861E+01	1.76133207E-14
12	Li	8	2.07500000E+00	1.39762816E-15	2.28250000E+01	-1.16666364E+01	-1.31724123E-14
13	Li	6	1.77879948E-15	2.07500000E+00	2.69750000E+01	-1.13699722E+01	-6.65307127E-15
15	Li	5	1.77879948E-15	1.77879948E-15	2.90500000E+01	-1.16557272E+01	7.76361742E-15
17	Li	8	2.07500000E+00	1.90585658E-15	3.11250000E+01	-1.15233883E+01	-1.30711435E-14
19	Li	8	2.07500000E+00	2.15997079E-15	3.52750000E+01	-1.16380298E+01	-1.30720466E-14
20	Li	6	2.54114211E-15	2.07500000E+00	3.94250000E+01	-1.13699364E+01	-6.65017859E-15
21	Li	7	2.07500000E+00	2.07500000E+00	3.73500000E+01	-1.15071481E+01	1.76178045E-14
22	Fe	5	2.54114211E-15	2.54114211E-15	4.15000000E+01	1.13152722E+01	7.76215042E-15
23	Li	7	2.07500000E+00	2.07500000E+00	4.15000000E+01	-1.15362560E+01	1.76195852E-14
25	Li	5	2.79525632E-15	2.79525632E-15	4.56500000E+01	-1.16270490E+01	7.76166142E-15
26	Li	7	2.07500000E+00	2.07500000E+00	4.56500000E+01	-1.15359695E+01	1.76195852E-14
27	Li	8	2.07500000E+00	2.92231342E-15	4.77250000E+01	-1.15517086E+01	-1.31755731E-14
28	Li	7	2.07500000E+00	2.07500000E+00	4.98000000E+01	-1.13930437E+01	1.76195534E-14
30	Li	5	3.30348474E-15	3.30348474E-15	5.39500000E+01	-1.16270132E+01	7.77195348E-15
