central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
0	Li	8	2.07500000E+00	1.27057105E-16	2.07500000E+00	-7.55778781E+00	5.55426617E-16
1	Fe	5	2.54114211E-16	2.54114211E-16	4.15000000E+00	4.87423609E+00	-5.93335391E-16
2	Li	6	5.08228422E-16	2.07500000E+00	6.22500000E+00	-3.86705606E+00	4.75238902E-16
3	Li	8	2.07500000E+00	3.81171316E-16	6.22500000E+00	-8.51114920E-02	5.55426617E-16
4	Li	5	5.08228422E-16	5.08228422E-16	8.30000000E+00	-1.34746476E+01	-5.93335391E-16
7	Li	6	1.01645684E-15	2.07500000E+00	1.45250000E+01	-6.60584177E+00	4.75238902E-16
8	Li	7	2.07500000E+00	2.07500000E+00	1.24500000E+01	-8.29121860E+00	4.90833452E-20
9	Li	8	2.07500000E+00	8.89399738E-16	1.45250000E+01	6.27511803E+00	5.55426617E-16
11	Li	7	2.07500000E+00	2.07500000E+00	2.07500000E+01	-8.93261311E+00	4.90833452E-20
12	Li	8	2.07500000E+00	1.39762816E-15	2.28250000E+01	-1.91699464E+00	5.55426617E-16
13	Li	6	1.77879948E-15	2.07500000E+00	2.69750000E+01	-8.72045871E+00	4.75238902E-16
15	Li	5	1.77879948E-15	1.77879948E-15	2.90500000E+01	-5.44389175E+00	-5.93335391E-16
17	Li	8	2.07500000E+00	1.90585658E-15	3.11250000E+01	-1.06771644E+01	5.55426617E-16
19	Li	8	2.07500000E+00	2.15997079E-15	3.52750000E+01	-2.24401350E+00	5.55426617E-16
20	Li	6	2.54114211E-15	2.07500000E+00	3.94250000E+01	-9.07504681E+00	4.75238902E-16
21	Li	7	2.07500000E+00	2.07500000E+00	3.73500000E+01	-3.56131930E-01	4.90833452E-20
22	Fe	5	2.54114211E-15	2.54114211E-15	4.15000000E+01	9.52730788E-01	-5.93335391E-16
23	Li	7	2.07500000E+00	2.07500000E+00	4.15000000E+01	3.68991384E+00	4.90833452E-20
25	Li	5	2.79525632E-15	2.79525632E-15	4.56500000E+01	1.50008084E+00	-5.93335391E-16
26	Li	7	2.07500000E+00	2.07500000E+00	4.56500000E+01	-6.55175851E+00	4.90833452E-20
27	Li	8	2.07500000E+00	2.92231342E-15	4.77250000E+01	8.13791354E-01	5.55426617E-16
28	Li	7	2.07500000E+00	2.07500000E+00	4.98000000E+01	-1.61157632E+01	4.90833452E-20
