central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
5	Fe	6	7.62342632E-16	2.07500000E+00	1.03750000E+01	8.20429081E+00	4.73651429E-16
6	Fe	8	2.07500000E+00	6.35285527E-16	1.03750000E+01	9.95474805E+00	5.52380533E-16
10	Fe	7	2.07500000E+00	2.07500000E+00	1.66000000E+01	4.17269139E+00	8.07434167E-19
14	Fe	8	2.07500000E+00	1.65174237E-15	2.69750000E+01	-8.32063260E+00	5.52380533E-16
16	Fe	7	2.07500000E+00	2.07500000E+00	2.90500000E+01	8.10888060E+00	8.07434167E-19
18	Fe	7	2.07500000E+00	2.07500000E+00	3.32000000E+01	3.64070152E+00	8.07434167E-19
24	Fe	8	2.07500000E+00	2.66819921E-15	4.35750000E+01	6.93905700E+00	5.52380533E-16
29	Fe	8	2.07500000E+00	3.17642764E-15	5.18750000E+01	6.07832091E+00	5.52380533E-16
33	Fe	7	2.07500000E+00	2.07500000E+00	5.81000000E+01	1.39936763E+01	8.07434167E-19
38	Fe	6	4.57405579E-15	2.07500000E+00	7.26250000E+01	9.80377236E+00	4.73651429E-16
39	Fe	7	2.07500000E+00	2.07500000E+00	7.05500000E+01	7.93816282E+00	8.07434167E-19
42	Fe	7	2.07500000E+00	2.07500000E+00	7.88500000E+01	1.41685390E+01	8.07434167E-19
47	Fe	6	1.01645684E-15	6.22500000E+00	1.03750000E+01	1.84904087E+01	-5.37515584E-16
55	Fe	7	2.07500000E+00	6.22500000E+00	2.07500000E+01	7.68268674E+00	-2.01993505E-17
59	Fe	6	2.28702790E-15	6.22500000E+00	3.11250000E+01	2.92918209E+00	-5.37515584E-16
61	Fe	6	2.54114211E-15	6.22500000E+00	3.52750000E+01	8.29604510E+00	-5.37515584E-16
70	Fe	7	2.07500000E+00	6.22500000E+00	4.56500000E+01	2.39626754E+00	-2.01993505E-17
76	Fe	8	2.07500000E+00	4.15000000E+00	6.01750000E+01	1.24972943E+01	2.56279155E-16
78	Fe	8	2.07500000E+00	4.15000000E+00	6.43250000E+01	1.38191325E+01	2.56279155E-16
79	Fe	6	4.57405579E-15	6.22500000E+00	6.84750000E+01	6.54667975E+00	-5.37515584E-16
80	Fe	8	2.07500000E+00	4.15000000E+00	6.84750000E+01	1.10144005E+01	2.56279155E-16
83	Fe	7	2.07500000E+00	6.22500000E+00	7.47000000E+01	1.16040108E+01	-2.01993505E-17
90	Fe	7	2.07500000E+00	1.03750000E+01	8.30000000E+00	-3.05233709E+00	1.35782557E-15
93	Fe	8	2.07500000E+00	8.30000000E+00	1.45250000E+01	5.36143844E+00	-1.49585550E-15
94	Fe	8	2.07500000E+00	8.30000000E+00	2.69750000E+01	1.11047510E+01	-1.49585550E-15
98	Fe	8	2.07500000E+00	8.30000000E+00	3.52750000E+01	-1.65839380E-01	-1.49585550E-15
112	Fe	6	4.57405579E-15	1.03750000E+01	6.43250000E+01	5.24321765E+00	-6.79011540E-16
113	Fe	7	2.07500000E+00	1.03750000E+01	6.22500000E+01	4.50541175E+00	1.35782557E-15
116	Fe	7	2.07500000E+00	1.03750000E+01	6.64000000E+01	1.14616451E+01	1.35782557E-15
119	Fe	7	2.07500000E+00	1.03750000E+01	7.05500000E+01	6.50461214E+00	1.35782557E-15
122	Fe	7	2.07500000E+00	1.03750000E+01	7.47000000E+01	7.69008363E-01	1.35782557E-15
124	Fe	7	2.07500000E+00	1.03750000E+01	7.88500000E+01	9.41239892E+00	1.35782557E-15
140	Fe	6	3.04937053E-15	1.45250000E+01	3.52750000E+01	5.01466809E+00	-1.19059641E-15
142	Fe	5	3.04937053E-15	1.24500000E+01	3.73500000E+01	8.50424495E-01	4.48427971E-16
146	Fe	5	3.30348474E-15	1.24500000E+01	4.15000000E+01	5.50697974E+00	4.48427971E-16
149	Fe	5	3.55759895E-15	1.24500000E+01	4.56500000E+01	5.64578726E+00	4.48427971E-16
150	Fe	6	3.81171316E-15	1.45250000E+01	4.77250000E+01	7.51979120E+00	-1.19059641E-15
151	Fe	5	3.81171316E-15	1.24500000E+01	4.98000000E+01	7.30089753E+00	4.48427971E-16
155	Fe	8	2.07500000E+00	1.24500000E+01	6.01750000E+01	5.47916083E+00	-1.78273348E-16
158	Fe	5	4.82817001E-15	1.24500000E+01	6.64000000E+01	-6.02589214E+00	4.48427971E-16
160	Fe	5	5.08228422E-15	1.24500000E+01	7.05500000E+01	1.34182431E+01	4.48427971E-16
162	Fe	8	2.07500000E+00	1.24500000E+01	7.26250000E+01	-8.15431182E-01	-1.78273348E-16
163	Fe	5	5.33639843E-15	1.24500000E+01	7.47000000E+01	-2.97441347E+00	4.48427971E-16
167	Fe	6	5.84462685E-15	1.45250000E+01	8.09250000E+01	1.21518387E+00	-1.19059641E-15
171	Fe	5	1.27057105E-15	1.66000000E+01	4.15000000E+00	-3.35020303E-01	1.18793995E-15
172	Fe	6	1.52468526E-15	1.86750000E+01	6.22500000E+00	1.51659597E+01	-4.23676004E-16
178	Fe	6	2.28702790E-15	1.86750000E+01	1.86750000E+01	2.95181403E+00	-4.23676004E-16
180	Fe	8	2.07500000E+00	1.66000000E+01	1.86750000E+01	1.50107544E+01	-7.47609619E-16
183	Fe	5	2.54114211E-15	1.66000000E+01	2.49000000E+01	6.31915939E+00	1.18793995E-15
188	Fe	7	2.07500000E+00	1.86750000E+01	3.32000000E+01	6.66287495E+00	4.38267775E-16
189	Fe	5	3.30348474E-15	1.66000000E+01	3.73500000E+01	-2.77931337E+00	1.18793995E-15
190	Fe	6	3.55759895E-15	1.86750000E+01	3.94250000E+01	-4.71198244E-01	-4.23676004E-16
194	Fe	8	2.07500000E+00	1.66000000E+01	4.35750000E+01	1.35164903E+01	-7.47609619E-16
199	Fe	7	2.07500000E+00	1.86750000E+01	5.81000000E+01	1.14141987E+01	4.38267775E-16
200	Fe	8	2.07500000E+00	1.66000000E+01	6.01750000E+01	1.14531523E+00	-7.47609619E-16
208	Fe	5	5.84462685E-15	1.66000000E+01	7.88500000E+01	-3.86448839E+00	1.18793995E-15
212	Fe	8	2.07500000E+00	2.07500000E+01	2.07500000E+00	5.89482766E+00	-5.65186189E-16
214	Fe	7	2.07500000E+00	2.28250000E+01	4.15000000E+00	8.26624960E+00	1.22378411E-16
215	Fe	8	2.07500000E+00	2.07500000E+01	6.22500000E+00	1.69198494E+01	-5.65186189E-16
216	Fe	8	2.07500000E+00	2.07500000E+01	1.03750000E+01	3.50271399E+00	-5.65186189E-16
217	Fe	6	2.28702790E-15	2.28250000E+01	1.45250000E+01	5.45798850E-01	6.40406148E-16
221	Fe	6	2.54114211E-15	2.28250000E+01	1.86750000E+01	-4.65537221E+00	6.40406148E-16
224	Fe	5	2.79525632E-15	2.07500000E+01	2.49000000E+01	8.36928543E+00	1.19258609E-16
225	Fe	6	3.04937053E-15	2.28250000E+01	2.69750000E+01	2.45530658E+00	6.40406148E-16
229	Fe	7	2.07500000E+00	2.28250000E+01	3.32000000E+01	4.79302954E+00	1.22378411E-16
231	Fe	5	3.81171316E-15	2.07500000E+01	4.15000000E+01	7.21427095E+00	1.19258609E-16
233	Fe	7	2.07500000E+00	2.28250000E+01	4.15000000E+01	1.18951639E+01	1.22378411E-16
239	Fe	8	2.07500000E+00	2.07500000E+01	5.60250000E+01	6.18524669E+00	-5.65186189E-16
242	Fe	5	5.08228422E-15	2.07500000E+01	6.22500000E+01	1.28158116E+01	1.19258609E-16
243	Fe	6	5.33639843E-15	2.28250000E+01	6.43250000E+01	4.25637174E+00	6.40406148E-16
249	Fe	6	6.35285527E-15	2.28250000E+01	8.09250000E+01	-4.22261515E+00	6.40406148E-16
257	Fe	7	2.07500000E+00	2.69750000E+01	1.24500000E+01	1.08142563E+01	7.79176098E-17
260	Fe	7	2.07500000E+00	2.69750000E+01	2.07500000E+01	1.79987660E+01	7.79176098E-17
266	Fe	6	3.55759895E-15	2.69750000E+01	3.11250000E+01	3.76920683E+00	4.56360764E-16
