central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
5	Fe	6	7.62342632E-16	2.07500000E+00	1.03750000E+01	3.26707690E+00	5.32580925E-15
6	Fe	8	2.07500000E+00	6.35285527E-16	1.03750000E+01	-2.96264574E+00	-8.76525047E-15
10	Fe	7	2.07500000E+00	2.07500000E+00	1.66000000E+01	4.19254654E+00	5.40833149E-15
14	Fe	8	2.07500000E+00	1.65174237E-15	2.69750000E+01	1.62743838E+01	-8.76795979E-15
16	Fe	7	2.07500000E+00	2.07500000E+00	2.90500000E+01	4.46652994E+00	5.41189304E-15
18	Fe	7	2.07500000E+00	2.07500000E+00	3.32000000E+01	8.14478890E+00	5.41367381E-15
24	Fe	8	2.07500000E+00	2.66819921E-15	4.35750000E+01	4.61417833E+00	-8.65910648E-15
29	Fe	8	2.07500000E+00	3.17642764E-15	5.18750000E+01	6.16072465E+00	-8.66002545E-15
33	Fe	7	2.07500000E+00	2.07500000E+00	5.81000000E+01	5.57253105E-01	5.41416619E-15
38	Fe	6	4.57405579E-15	2.07500000E+00	7.26250000E+01	1.17134824E+00	5.31792787E-15
39	Fe	7	2.07500000E+00	2.07500000E+00	7.05500000E+01	1.22963651E+00	5.42168729E-15
42	Fe	7	2.07500000E+00	2.07500000E+00	7.88500000E+01	-4.58535993E+00	5.42346806E-15
47	Fe	6	1.01645684E-15	6.22500000E+00	1.03750000E+01	-5.35131123E+00	-1.20728049E-14
55	Fe	7	2.07500000E+00	6.22500000E+00	2.07500000E+01	1.71359779E+00	1.13333320E-14
59	Fe	6	2.28702790E-15	6.22500000E+00	3.11250000E+01	1.24757504E+01	-1.20672950E-14
61	Fe	6	2.54114211E-15	6.22500000E+00	3.52750000E+01	-8.77758625E-01	-1.20661930E-14
70	Fe	7	2.07500000E+00	6.22500000E+00	4.56500000E+01	1.12250852E+01	1.13054233E-14
76	Fe	8	2.07500000E+00	4.15000000E+00	6.01750000E+01	-2.03754664E+00	-1.64599960E-14
78	Fe	8	2.07500000E+00	4.15000000E+00	6.43250000E+01	-1.19678147E+00	-1.64611535E-14
79	Fe	6	4.57405579E-15	6.22500000E+00	6.84750000E+01	4.65384791E+00	-1.20828025E-14
80	Fe	8	2.07500000E+00	4.15000000E+00	6.84750000E+01	-1.41539613E+00	-1.64611535E-14
83	Fe	7	2.07500000E+00	6.22500000E+00	7.47000000E+01	-9.47430867E-01	1.13465606E-14
90	Fe	7	2.07500000E+00	1.03750000E+01	8.30000000E+00	1.41745897E+01	5.58005265E-15
93	Fe	8	2.07500000E+00	8.30000000E+00	1.45250000E+01	6.47295235E+00	-9.26612252E-16
94	Fe	8	2.07500000E+00	8.30000000E+00	2.69750000E+01	-3.01716777E-01	-9.57979821E-16
98	Fe	8	2.07500000E+00	8.30000000E+00	3.52750000E+01	9.63418586E+00	-9.59137324E-16
112	Fe	6	4.57405579E-15	1.03750000E+01	6.43250000E+01	5.19710616E+00	-1.42843886E-14
113	Fe	7	2.07500000E+00	1.03750000E+01	6.22500000E+01	4.67316675E+00	5.58768454E-15
116	Fe	7	2.07500000E+00	1.03750000E+01	6.64000000E+01	1.61537537E+00	5.58768454E-15
119	Fe	7	2.07500000E+00	1.03750000E+01	7.05500000E+01	4.64668519E+00	5.58870212E-15
122	Fe	7	2.07500000E+00	1.03750000E+01	7.47000000E+01	1.02856892E+01	5.58870212E-15
124	Fe	7	2.07500000E+00	1.03750000E+01	7.88500000E+01	3.06383215E+00	5.58971971E-15
140	Fe	6	3.04937053E-15	1.45250000E+01	3.52750000E+01	2.51338752E+00	8.07632164E-15
142	Fe	5	3.04937053E-15	1.24500000E+01	3.73500000E+01	1.22732223E+01	8.03204209E-15
146	Fe	5	3.30348474E-15	1.24500000E+01	4.15000000E+01	5.32827297E+00	8.03086436E-15
149	Fe	5	3.55759895E-15	1.24500000E+01	4.56500000E+01	5.66668137E+00	8.02968663E-15
150	Fe	6	3.81171316E-15	1.45250000E+01	4.77250000E+01	9.66528622E+00	8.07673488E-15
151	Fe	5	3.81171316E-15	1.24500000E+01	4.98000000E+01	3.95296166E+00	8.02850889E-15
155	Fe	8	2.07500000E+00	1.24500000E+01	6.01750000E+01	6.30333966E+00	-1.16155666E-14
158	Fe	5	4.82817001E-15	1.24500000E+01	6.64000000E+01	1.42979832E+01	8.02379796E-15
