central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
0	Li	8	2.07500000E+00	1.27057105E-16	2.07500000E+00	8.01453542E-01	0.00000000E+00
1	Fe	5	2.54114211E-16	2.54114211E-16	4.15000000E+00	-5.27524357E-01	0.00000000E+00
2	Li	6	5.08228422E-16	2.07500000E+00	6.22500000E+00	-8.24438600E-01	0.00000000E+00
3	Li	8	2.07500000E+00	3.81171316E-16	6.22500000E+00	-2.92602711E+00	0.00000000E+00
4	Li	5	5.08228422E-16	5.08228422E-16	8.30000000E+00	-8.63833460E-01	0.00000000E+00
7	Li	6	1.01645684E-15	2.07500000E+00	1.45250000E+01	8.38235341E-01	0.00000000E+00
8	Li	7	2.07500000E+00	2.07500000E+00	1.24500000E+01	-2.20483313E+00	0.00000000E+00
9	Li	8	2.07500000E+00	8.89399738E-16	1.45250000E+01	-5.02353608E+00	0.00000000E+00
11	Li	7	2.07500000E+00	2.07500000E+00	2.07500000E+01	-3.22737460E+00	0.00000000E+00
12	Li	8	2.07500000E+00	1.39762816E-15	2.28250000E+01	-4.28763658E+00	0.00000000E+00
13	Li	6	1.77879948E-15	2.07500000E+00	2.69750000E+01	-2.67669991E+00	0.00000000E+00
15	Li	5	1.77879948E-15	1.77879948E-15	2.90500000E+01	-3.68450148E-01	0.00000000E+00
17	Li	8	2.07500000E+00	1.90585658E-15	3.11250000E+01	-2.70089180E+00	0.00000000E+00
19	Li	8	2.07500000E+00	2.15997079E-15	3.52750000E+01	1.69771703E+00	0.00000000E+00
20	Li	6	2.54114211E-15	2.07500000E+00	3.94250000E+01	2.50684182E+00	0.00000000E+00
21	Li	7	2.07500000E+00	2.07500000E+00	3.73500000E+01	1.83276720E+00	0.00000000E+00
22	Fe	5	2.54114211E-15	2.54114211E-15	4.15000000E+01	1.08598101E+00	0.00000000E+00
23	Li	7	2.07500000E+00	2.07500000E+00	4.15000000E+01	-2.84569340E+00	0.00000000E+00
25	Li	5	2.79525632E-15	2.79525632E-15	4.56500000E+01	-7.17608797E-01	0.00000000E+00
26	Li	7	2.07500000E+00	2.07500000E+00	4.56500000E+01	3.34295610E+00	0.00000000E+00
27	Li	8	2.07500000E+00	2.92231342E-15	4.77250000E+01	7.96993740E-01	0.00000000E+00
28	Li	7	2.07500000E+00	2.07500000E+00	4.98000000E+01	-3.42741521E+00	0.00000000E+00
30	Li	5	3.30348474E-15	3.30348474E-15	5.39500000E+01	1.15222328E-01	0.00000000E+00
31	Li	5	3.55759895E-15	3.55759895E-15	5.81000000E+01	-2.10800638E-01	0.00000000E+00
32	Li	6	3.81171316E-15	2.07500000E+00	6.01750000E+01	-2.19642116E+00	0.00000000E+00
34	Li	8	2.07500000E+00	3.68465606E-15	6.01750000E+01	-7.47996825E-01	0.00000000E+00
35	Li	8	2.07500000E+00	3.93877027E-15	6.43250000E+01	1.33774654E+00	0.00000000E+00
36	Li	6	4.31994158E-15	2.07500000E+00	6.84750000E+01	-1.23489343E+00	0.00000000E+00
37	Li	7	2.07500000E+00	2.07500000E+00	6.64000000E+01	-2.57010458E+00	0.00000000E+00
40	Li	7	2.07500000E+00	2.07500000E+00	7.47000000E+01	-2.16827077E+00	0.00000000E+00
41	Li	5	4.82817001E-15	4.82817001E-15	7.88500000E+01	-2.55751006E+00	0.00000000E+00
43	Li	8	2.07500000E+00	4.95522711E-15	8.09250000E+01	1.28262282E+00	0.00000000E+00
44	Li	7	2.07500000E+00	6.22500000E+00	0.00000000E+00	-7.68212805E-02	0.00000000E+00
45	Li	8	2.07500000E+00	4.15000000E+00	6.22500000E+00	2.02192510E+00	0.00000000E+00
46	Fe	5	7.62342632E-16	4.15000000E+00	8.30000000E+00	9.56397067E-01	0.00000000E+00
48	Li	7	2.07500000E+00	6.22500000E+00	8.30000000E+00	-9.52064335E-01	0.00000000E+00
49	Li	8	2.07500000E+00	4.15000000E+00	1.03750000E+01	-2.92789127E+00	0.00000000E+00
50	Fe	5	1.01645684E-15	4.15000000E+00	1.24500000E+01	-2.04856470E+00	0.00000000E+00
51	Li	8	2.07500000E+00	4.15000000E+00	1.45250000E+01	3.14870253E+00	0.00000000E+00
52	Li	7	2.07500000E+00	6.22500000E+00	1.66000000E+01	-1.94270529E+00	0.00000000E+00
53	Li	5	1.52468526E-15	4.15000000E+00	2.07500000E+01	-2.77593320E+00	0.00000000E+00
54	Li	6	1.77879948E-15	6.22500000E+00	2.28250000E+01	-2.29432383E+00	0.00000000E+00
56	Li	6	2.03291369E-15	6.22500000E+00	2.69750000E+01	3.17782517E+00	0.00000000E+00
57	Li	8	2.07500000E+00	4.15000000E+00	2.69750000E+01	-2.46104856E+00	0.00000000E+00
58	Fe	5	2.03291369E-15	4.15000000E+00	2.90500000E+01	-1.49357280E+00	0.00000000E+00
60	Li	5	2.28702790E-15	4.15000000E+00	3.32000000E+01	5.92447473E-01	0.00000000E+00
62	Li	7	2.07500000E+00	6.22500000E+00	3.32000000E+01	-3.22138842E-01	0.00000000E+00
63	Fe	5	2.54114211E-15	4.15000000E+00	3.73500000E+01	1.94701579E-01	0.00000000E+00
64	Li	6	2.79525632E-15	6.22500000E+00	3.94250000E+01	-4.55463168E+00	0.00000000E+00
65	Li	7	2.07500000E+00	6.22500000E+00	3.73500000E+01	-5.74597860E-01	0.00000000E+00
66	Li	5	2.79525632E-15	4.15000000E+00	4.15000000E+01	-6.90076049E-01	0.00000000E+00
67	Li	8	2.07500000E+00	4.15000000E+00	4.35750000E+01	-8.68594985E-02	0.00000000E+00
